,fund_house,scheme_type,scheme_category,scheme_code,scheme_name,date,nav
10694,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123053,Reliance Fixed Horizon Fund - XXIV - Series 3-Dividend payout Option,05-08-2013,10.03180
10695,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123052,Reliance Fixed Horizon Fund - XXIV - Series 3-Growth Option,05-08-2013,10.03180
10696,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123073,Reliance Fixed Horizon Fund - XXIV - Series 4-Direct Plan - Dividend Payout Option,13-08-2013,10.01560
10697,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123072,Reliance Fixed Horizon Fund - XXIV - Series 4-Direct Plan - Growth Option,13-08-2013,10.01560
10698,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123071,Reliance Fixed Horizon Fund - XXIV - Series 4-Dividend payout Option,13-08-2013,10.01550
10699,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123070,Reliance Fixed Horizon Fund - XXIV - Series 4-Growth Option,13-08-2013,10.01550
10700,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123153,Reliance Fixed Horizon Fund - XXIV - Series 5 - Direct Plan - Dividend Payout Option,20-08-2013,9.91970
10701,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123151,Reliance Fixed Horizon Fund - XXIV - Series 5 - Direct Plan - Growth Option,20-08-2013,9.91970
10702,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123152,Reliance Fixed Horizon Fund - XXIV - Series 5 - Dividend Payout Option,20-08-2013,9.91950
10703,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123150,Reliance Fixed Horizon Fund - XXIV - Series 5 - Growth Option,20-08-2013,9.91950
10704,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123207,Reliance Fixed Horizon Fund - XXIV - Series 6 - Direct Plan - Dividend Payout Option,26-08-2013,10.01400
10705,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123205,Reliance Fixed Horizon Fund - XXIV - Series 6 - Direct Plan - Growth Option,26-08-2013,10.01400
10706,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123206,Reliance Fixed Horizon Fund - XXIV - Series 6 - Dividend Payout Option,26-08-2013,10.01370
